Nimeke;ISSN/NBN;Digitoitu (avoin käyttö);Digitoitu (rajattu käyttö);Ilmestynyt vuosina;Digitointi-%;Niteitä;Sivuja;URL;Puoluekanta;Puoluekanta2 (alkupvm-loppupvm jos tiedossa?);Kommentti;Kommentti_5;Tietolähteiden värikoodit;Puoluekanta_SV;Puoluekanta_en;Kommentti_sv;Kommentti_en
Helsingin Sanomat;0355-2048;1905 - 1929;"1931 - 1940; 2017 - 2019";1905 - 2019;"34;48 %";13116;233160;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-2047;tasavaltalainen;1917 - 1918;;;1;republikan;republican;;
Helsingin Sanomat;0355-2049;1906 - 1929;"1932 - 1940; 2017 - 2019";1906 - 2019;"34;48 %";13116;233160;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-2047;edistyspuoluelainen;09.12.1918 - 01.12.1939;;;1;progress parti;National Progressive Party;;
Helsingin Sanomat;0355-2050;1907 - 1929;"1933 - 1940; 2017 - 2019";1907 - 2019;"34;48 %";13116;233160;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-2047;sitoutumaton;02.12.1939 - ;;;1;obunden;independent;;
Maaseudun Tulevaisuus;0355-3787;1916 - 1929;1930 - 2016;1916 - 2019;"97;12 %";14319;218740;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-3787;porvarillinen;01.10.1916 - 30.11.1917;;;1;borgerlig;conservative;;
Maaseudun Tulevaisuus;0355-3788;1917 - 1929;1931 - 2016;1917 - 2019;"97;12 %";14319;218740;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-3787;sitoutumaton;10.12.1917 -;MTK:n äänenkannattaja;;1;obunden;independent;Organ för centralförbundet för lant- och skogsbruksproducenter MTK;Mouthpiece for The Central Union of Agricultural Producers and Forest Owners (MTK)
Aamulehti;0355-6913;1881 - 1929;"1930 - 1940; 2017 - 2019";1881 - 2019;"45;32 %";17802;181250;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-6913;vanhasuomalainen ja osin nuorsuomalainen;03.12.1881 - 28.05.1905;;;1;gammalfinsk och delvis ungfinsk ;Old Finnish Party, Young Finnish Party (partly);;
Aamulehti;0355-6914;1882 - 1929;"1931 - 1940; 2017 - 2019";1882 - 2019;"45;32 %";17802;181250;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-6913;vanhasuomalainen;30.05.1905 - 08.12.1918;;;1;gammalfinsk;Old Finnish Party;;
Aamulehti;0355-6915;1883 - 1929;"1932 - 1940; 2017 - 2019";1883 - 2019;"45;32 %";17802;181250;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-6913;kokoomuslainen;10.12.1918 - 31.12.1991;;;1;samlingspartistisk;supporter of the Coalition Party;;
Aamulehti;0355-6916;1884 - 1929;"1933 - 1940; 2017 - 2019";1884 - 2019;"45;32 %";17802;181250;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-6913;sitoutumaton;1992 - ;https://www.aamulehti.fi/a/200574856;;4;obunden;independent;;
Åbo Underrättelser;0785-398X;"1824 - 1827; 1829 - 1929";"1930 - 1940; 2017 - 2019";1824 - 2019;"60;71 %";28784;153689;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0785-398X;-;1824 - 1830;kirjallis-akateeminen;;1;-;-;;
Åbo Underrättelser;0785-398X;"1825 - 1827; 1829 - 1929";"1931 - 1940; 2017 - 2019";1825 - 2019;"60;71 %";28784;153689;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0785-398X;liberaali;1831 - 1875;;;1;liberal;liberal;;
Åbo Underrättelser;0785-398X;"1826 - 1827; 1829 - 1929";"1932 - 1940; 2017 - 2019";1826 - 2019;"60;71 %";28784;153689;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0785-398X;-;1876 - 1889;selkeä poliittinen linja puuttui;;1;-;-;;
Åbo Underrättelser;0785-398X;"1827 - 1827; 1829 - 1929";"1933 - 1940; 2017 - 2019";1827 - 2019;"60;71 %";28784;153689;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0785-398X;ruotsinmielinen;1890 - 1899;;;1;svekomansk;pro-Swedish;;
Åbo Underrättelser;0785-398X;"1828 - 1827; 1829 - 1929";"1934 - 1940; 2017 - 2019";1828 - 2019;"60;71 %";28784;153689;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0785-398X;"ruotsinmielinen; perustuslaillinen";1900 - 1917;;;1;"svekomansk; konstitutionell";"pro-Swedish; constitutional";;
Åbo Underrättelser;0785-398X;"1829 - 1827; 1829 - 1929";"1935 - 1940; 2017 - 2019";1829 - 2019;"60;71 %";28784;153689;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0785-398X;RKP;1918 - ;paikallinen;;1;Svenska folkpartiet i Finland;Swedish People's Party;;
Finlands Allmänna Tidning;1457-4314;1820 - 1929;1930 - 1931;1820 - 1931;"100;00 %";32714;152878;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4314;-;;hallituksen tiedotuslehti;;1;-;-;;
Uusi Suomi;0355-5461;1919 - 1929;1930 - 1950;1919 - 1991;"43;84 %";10465;144661;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-5461;kokoomuksen pää-äänenkannattaja;01.01.1919 - 31.07.1976;1930-luvulla ja sotien jälkeen kokoomuksen oikeistolaitaa;;1;samlingspartistisk (huvud);supporter of the Coalition Party (main mouthpiece);;
Uusi Suomi;0355-5462;1920 - 1929;1931 - 1950;1920 - 1991;"43;84 %";10465;144661;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-5461;"sitoutumaton; porvarillinen";01.08.1976 -29.11.1991;;;1;"obunden; borgerlig";"independent; conservative";;
Suomen Sosialidemokraatti;0355-9440;1918 - 1929;1930 - 1959;1918 - 1988;"59;15 %";14082;123507;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-9440;Suomen Sosialidemokraattisen Puolueen pää-äänenkannattaja;;;;4;Finlands Socialdemokratiska Parti huvudorgan;Social Democratic Party of Finland official organ;;
Uusi Aura;1458-0543;1897 - 1929;1930 - 1934;1897 - 1964;"55;88 %";17157;110377;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0543;"suomenmielinen; vanhasuomalainen";01.01.1897 - 21.08.1917;;;1;"finsksinnad; gammalfinsk";"Fennoman; the Old Finnish Party";;
Uusi Aura;1458-0543;1897 - 1929;1930 - 1934;1897 - 1964;"55;88 %";17157;110377;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0543;kansanpuoluelainen;22.08.1917 - 31.07.1918;;;1;folkparti;people's party;;
Uusi Aura;1458-0543;1897 - 1929;1930 - 1934;1897 - 1964;"55;88 %";17157;110377;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0543;monarkistinen;01.08.1918 - 08.12.1918;;;1;monarkistisk;monarchist;;
Uusi Aura;1458-0543;1897 - 1929;1930 - 1934;1897 - 1964;"55;88 %";17157;110377;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0543;kokoomuslainen;09.12.1918 - ;;;1;samlingspartistisk;supporter of the Coalition Party;;
Turun Sanomat;0356-133X;1905 - 1929;"1930 - 1934; 1956; 2017 - 2019";1904 - 2019;"29;31 %";11255;106059;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-133X;"nuorsuomalainen; perustuslaillinen";01.01.1905 - 08.12.1918;;;1;"ungfinsk parti; konstitutionell";"Young Finnish Party; constitutional";;
Turun Sanomat;0356-133X;1905 - 1929;"1930 - 1934; 1956; 2017 - 2019";1904 - 2019;"29;31 %";11255;106059;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-133X;tasavaltalainen;1917 - 1918;;;1;republikan;republican;;
Turun Sanomat;0356-133X;1905 - 1929;"1930 - 1934; 1956; 2017 - 2019";1904 - 2019;"29;31 %";11255;106059;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-133X;edistyspuoluelainen;09.12.1918 - 03.02.1951;;;1;progress parti;National Progressive Party;;
Turun Sanomat;0356-133X;1905 - 1929;"1930 - 1934; 1956; 2017 - 2019";1904 - 2019;"29;31 %";11255;106059;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-133X;Suomen kansanpuolueen äänenkannattaja;04.02.1951 - 31.12.1960;;;1;Finska folkparti;Finnish people's party;;
Turun Sanomat;0356-133X;1905 - 1929;"1930 - 1934; 1956; 2017 - 2019";1904 - 2019;"29;31 %";11255;106059;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-133X;sitoutumaton;1961 -;;;1;obunden;independent;;
Karjala;0782-7024;1903 - 1929;"1930 - 1939; 2017 - 2019";"1903 - 1940; 1952 - 2019";"37;74 %";11872;96401;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-7024;suomenmielinen;1903 - 1904;maltillinen;;1;finsksinnad;Fennoman;;
Karjala;0782-7024;1903 - 1929;"1930 - 1939; 2017 - 2019";"1903 - 1940; 1952 - 2019";"37;74 %";11872;96401;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-7024;"nuorsuomalainen; perustuslaillinen";1905 - 1918;nuorsuomalaisen puolueen oikeistosiipeä;;1;"ungfinsk parti; konstitutionell";"Young Finnish Party; constitutional";;right wing of Young Finnish Party
Karjala;0782-7024;1903 - 1929;"1930 - 1939; 2017 - 2019";"1903 - 1940; 1952 - 2019";"37;74 %";11872;96401;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-7024;monarkistinen;1918;;;1;monarkistisk;monarchist;;
Karjala;0782-7024;1903 - 1929;"1930 - 1939; 2017 - 2019";"1903 - 1940; 1952 - 2019";"37;74 %";11872;96401;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-7024;kokoomuslainen;1918 - 1939;1930-luvulla kokoomuksen linjakiistoissa maltillisen linjan päälehti;;1;samlingspartistisk;supporter of the Coalition Party;;
Karjala;0782-7024;1903 - 1929;"1930 - 1939; 2017 - 2019";"1903 - 1940; 1952 - 2019";"37;74 %";11872;96401;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-7024;sitoutumaton;1940 - 1958;kristillis-isänmaallinen siirtoväen äänenkannattaja;;1;obunden;independent;kristligt-patriotisk förflyttad befolkning organ;Christian-, patriotic-minded displaced population mouthpiece
Karjala;0782-7024;1903 - 1929;"1930 - 1939; 2017 - 2019";"1903 - 1940; 1952 - 2019";"37;74 %";11872;96401;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-7024;sitoutumaton;1958 -;"viikkolehti; heimolehti";;1;obunden;independent;"veckotidning; tribe paper";"weekly; stammagasin"
Uusi Suometar;1457-4721;1869 - 1918;;1869 - 1918;"100;00 %";13959;86068;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4721;"suomenmielinen; vanhasuomalainen; jungfennomaaninen";1869 - ;"""jungfennomanian"" johtava äänenkannattaja";;1;"finsksinnad; gammalfinsk; jungfennomanic";"Fennoman; the Old Finnish Party; jungfennoman";;
Uusi Suometar;1457-4721;1869 - 1918;;1869 - 1918;"100;00 %";13959;86068;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4721;Suomalaisen puolueen äänenkannattaja;1906 - 1918;;;1;Finska partiet's partiorgan;Finnish Party's official mouthpiece;;
Hämeen Sanomat;0356-2751;1878 - 1929;"1930 - 1939; 2017 - 2019";1878 - 2019;"45;77 %";12334;83944;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2751;"suomenmielinen; vanhasuomalainen";1879 - 1918;;;1;"finsksinnad; gammalfinsk";"Fennoman; the Old Finnish Party";;
Hämeen Sanomat;0356-2751;1878 - 1929;"1930 - 1939; 2017 - 2019";1878 - 2019;"45;77 %";12334;83944;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2751;Suomalaisen puolueen äänenkannattaja;1906 - 1918;;;1;Finska partiet's partiorgan;Finnish Party's official mouthpiece;;
Hämeen Sanomat;0356-2751;1878 - 1929;"1930 - 1939; 2017 - 2019";1878 - 2019;"45;77 %";12334;83944;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2751;kokoomuslainen;1918 - 1929;;;1;samlingspartistisk;supporter of the Coalition Party;;
Hämeen Sanomat;0356-2751;1878 - 1929;"1930 - 1939; 2017 - 2019";1878 - 2019;"45;77 %";12334;83944;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2751;Kokoomus/IKL;1930 - 1940;;;1;samlingspartistisk;supporter of the Coalition Party;;
Hämeen Sanomat;0356-2751;1878 - 1929;"1930 - 1939; 2017 - 2019";1878 - 2019;"45;77 %";12334;83944;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2751;"sitoutumaton; yleisporvarillinen";1941 - ;;;1;"obunden; allmän borgerlig";"independent; general conservative";;
Hämeen Sanomat;0356-2751;1878 - 1929;"1930 - 1939; 2017 - 2019";1878 - 2019;"45;77 %";12334;83944;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2751;sitoutumaton;;;;4;obunden;independent;;
Satakunnan Kansa;0355-8746;1918 - 1929;"1930 - 1934; 2017 - 2019";1917 - 2019;"19;42 %";5912;79039;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-8746;"porvarillinen; monarkistinen";1918;;;1;"borgerlig; monarkistisk";"conservative; monarchist";;
Satakunnan Kansa;0355-8746;1918 - 1929;"1930 - 1934; 2017 - 2019";1917 - 2019;"19;42 %";5912;79039;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-8746;Kokoomuksen äänenkannattaja;1919 - 1988;;;1;Samlingpartiet's organ;National Coalition Party's organ;;
Satakunnan Kansa;0355-8746;1918 - 1929;"1930 - 1934; 2017 - 2019";1917 - 2019;"19;42 %";5912;79039;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-8746;sitoutumaton;1989 - ;https://jyx.jyu.fi/handle/123456789/13464;;3;obunden;independent;;
Vasabladet;0356-1844;1856 - 1929;"1930 - 1934; 2017 - 2019";1856 - 2019;"50;00 %";12630;76348;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1844;sitoutumaton;;;;4;obunden;independent;;
Ilkka;0356-1283;1906 - 1929;"1930 - 1939; 2017 - 2019";1906 - 2019;"32;46 %";9435;76278;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1283;Etelä-Pohjanmaan nuorsuomalaisen maalaisliiton äänenkannattaja;1906 - 1907;;;1;Södra Österbotten's ungfinsk agrarförbund's organ;South Ostrobothnia's Young Finnish peasant alliance mouthpiece;;
Ilkka;0356-1283;1906 - 1929;"1930 - 1939; 2017 - 2019";1906 - 2019;"32;46 %";9435;76278;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1283;maalaisliittolainen;1908 - 1965;;;1;agrarpartist;Agrarian Party;;
Ilkka;0356-1283;1906 - 1929;"1930 - 1939; 2017 - 2019";1906 - 2019;"32;46 %";9435;76278;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1283;keskustalainen;1965 - 1997;;;3;centerpartistisk;centrist;;
Ilkka;0356-1283;1906 - 1929;"1930 - 1939; 2017 - 2019";1906 - 2019;"32;46 %";9435;76278;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1283;sitoutumaton;1997 -;keskustalainen;;4;obunden;independent;;
Suomalainen Wirallinen Lehti;1457-4675;1866 - 1919;;1866 - 1918;"100;00 %";13734;74140;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4675;-;;virallinen tiedotuslehti;;1;-;-;;
Kaleva;0356-1356;1899 - 1929;"1930 - 1940; 2015";1899 - 2019;"35;54 %";12242;70834;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1356;nuorsuomalainen;1899 - 1918;;;1;ungfinsk parti;Young Finnish Party;;
Kaleva;0356-1356;1899 - 1929;"1930 - 1940; 2015";1899 - 2019;"35;54 %";12242;70834;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1356;edistyspuoluelainen;1918 - 1951;;;1;progress parti;National Progressive Party;;
Kaleva;0356-1356;1899 - 1929;"1930 - 1940; 2015";1899 - 2019;"35;54 %";12242;70834;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1356;sitoutumaton;1951 - ;;;1;obunden;independent;;
Keskisuomalainen;0356-1402;1917 - 1929;"1930 - 1934; 2017 - 2019";1917 - 2019;"20;39 %";6002;70764;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1402;kansanpuoluelainen;1917 - 1918;;;1;folkparti;people's party;;
Keskisuomalainen;0356-1402;1917 - 1929;"1930 - 1934; 2017 - 2019";1917 - 2019;"20;39 %";6002;70764;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1402;edistyspuoluelainen;1920 -1932;;;1;progress parti;National Progressive Party;;
Keskisuomalainen;0356-1402;1917 - 1929;"1930 - 1934; 2017 - 2019";1917 - 2019;"20;39 %";6002;70764;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1402;maalaisliittolainen/keskustalainen;1932 - 1985;;;1;agrarpartist/centrist;Agrarian Party/centrist;;
Keskisuomalainen;0356-1402;1917 - 1929;"1930 - 1934; 2017 - 2019";1917 - 2019;"20;39 %";6002;70764;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1402;sitoutumaton;1986 - ;;;3;obunden;independent;;
Ilta-Sanomat;0355-2055;;"1932 - 1939; 2017 - 2019";1932 - 2019;"12;50 %";2893;62842;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-2055;;;Helsingin Sanomien iltapäivälehti;;;;;;
Kauppalehti;0451-5560;1898 - 1929;"1930 - 1934; 2017 - 2019";1898 - 2019;"32;79 %";6687;62287;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0451-5560;;;talouselämän äänenkannattaja;taloudellinen liberalismi;;;;;
Savon Sanomat;0356-3510;1907 - 1929;"1930 - 1935; 2015; 2017 - 2019";1907 - 2019;"29;20 %";4933;58972;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-3510;maalaisliittolainen/keskustalainen;1907 - 1990;;;1;agrarpartist/centrist;Agrarian Party/centrist;;
Savon Sanomat;0356-3510;1907 - 1929;"1930 - 1935; 2015; 2017 - 2019";1907 - 2019;"29;20 %";4933;58972;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-3510;sitoutumaton;1991 -;;;3;obunden;independent;;
Kaiku;1458-090X;1877 - 1929;1930 - 1939;1877 - 1949;"86;30 %";12865;56996;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-090X;suomenmielinen;1877 - 1918;;;1;finsksinnad;Fennoman;;
Kaiku;1458-090X;1877 - 1929;1930 - 1939;1877 - 1949;"86;30 %";12865;56996;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-090X;nuorsuomalainen;1888 - 1889;;;1;ungfinsk;Young Finnish Party;;
Kaiku;1458-090X;1877 - 1929;1930 - 1939;1877 - 1949;"86;30 %";12865;56996;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-090X;vanhasuomalainen;1905 - 8.12.1918;;;1;gammalfinsk;Old Finnish Party;;
Kaiku;1458-090X;1877 - 1929;1930 - 1939;1877 - 1949;"86;30 %";12865;56996;https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-090X;kokoomuslainen;9.12.1918 - ;;;1;samlingspartistisk;supporter of the Coalition Party;;
Karjalainen;0358-1705;1918 - 1929;"1930 - 1939; 2017 - 2019";1918 - 2019;"24;51 %";4502;55254;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0358-1705;monarkistinen;1918;;;1;monarkistisk;monarchist;;
Karjalainen;0358-1705;1918 - 1929;"1930 - 1939; 2017 - 2019";1918 - 2019;"24;51 %";4502;55254;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0358-1705;kokoomuslainen;1919 - 1993;1929 - 1934 linja oli lähellä äärioikeistoa;;1;samlingspartistisk;supporter of the Coalition Party;;
Karjalainen;0358-1705;1918 - 1929;"1930 - 1939; 2017 - 2019";1918 - 2019;"24;51 %";4502;55254;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0358-1705;sitoutumaton;1994 - ;;;3;obunden;independent;;
Länsi-Suomi;0782-6419;1905 - 1929;"1930 - 1934; 2017 - 2019";1905 - 2019;"28;70 %";6491;47759;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-6419;vanhasuomalainen;1905 - 8.12.1918;;;1;gammalfinsk;Old Finnish Party;;
Länsi-Suomi;0782-6419;1905 - 1929;"1930 - 1934; 2017 - 2019";1905 - 2019;"28;70 %";6491;47759;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-6419;laimeasti monarkistinen;1918;;;1;mild monarkistisk;mildly monarchist;;
Länsi-Suomi;0782-6419;1905 - 1929;"1930 - 1934; 2017 - 2019";1905 - 2019;"28;70 %";6491;47759;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-6419;kokoomuslainen;9.12.1918 - 1990;;;1;samlingspartistisk;supporter of the Coalition Party;;
Länsi-Suomi;0782-6419;1905 - 1929;"1930 - 1934; 2017 - 2019";1905 - 2019;"28;70 %";6491;47759;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-6419;sitoutumaton;1991 -;;;3;obunden;independent;;
Iltalehti;0783-0025;;2017 - 2019;1980 - 2019;"7;50 %";727;43336;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0783-0025;;;Uuden Suomen iltapäivälehti;;;;;;
Etelä-Saimaa;0357-0975;1914 - 1929;"1930 - 1940; 2017 - 2019";1914 - 2019;"28;30 %";4722;43252;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-0975;nuorsuomalainen;1914 - 8.12.1918;;;1;ungfinsk;Young Finnish Party;;
Etelä-Saimaa;0357-0975;1914 - 1929;"1930 - 1940; 2017 - 2019";1914 - 2019;"28;30 %";4722;43252;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-0975;edistyspuoluelainen;9.12.1918 - 1940;;;1;progress parti;National Progressive Party;;
Etelä-Saimaa;0357-0975;1914 - 1929;"1930 - 1940; 2017 - 2019";1914 - 2019;"28;30 %";4722;43252;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-0975;maalaisliittolainen/keskustalainen;1940 - 1992;;;1;agrarpartist/centrist;Agrarian Party/centrist;;
Etelä-Saimaa;0357-0975;1914 - 1929;"1930 - 1940; 2017 - 2019";1914 - 2019;"28;30 %";4722;43252;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-0975;sitoutumaton;1993 -;;;3;obunden;independent;;
Åland;0355-9149;1891 - 1929;"1930 - 1939; 2017 - 2019";1891 - 2019;"40;31 %";6085;43153;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-9149;-;;ahvenanmaalainen maakuntalehti;;1;-;-;;
Uusimaa;0357-1858;1894 - 1929;"1930 - 1934; 2016 - 2019";1894 - 2019;"35;71 %";6553;41989;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-1858;suomenmielinen ;1894 - ;;;1;finsksinnad;Fennoman;;
Uusimaa;0357-1858;1894 - 1929;"1930 - 1934; 2016 - 2019";1894 - 2019;"35;71 %";6553;41989;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-1858;maltillisesti perustuslaillinen;1899 - 1904;;;1;tolerant konstitutionell;moderately constitutional;;
Uusimaa;0357-1858;1894 - 1929;"1930 - 1934; 2016 - 2019";1894 - 2019;"35;71 %";6553;41989;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-1858;"vanhasuomalainen; myöntyvyysmielinen";1905 - 1917;;;1;gammalfinsk, böjlighetriktning;"Old Finnish Party; complianceoriented";;
Uusimaa;0357-1858;1894 - 1929;"1930 - 1934; 2016 - 2019";1894 - 2019;"35;71 %";6553;41989;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-1858;vanha- ja nuorsuomalainen;1917 - 8.12.1918;;;1;gammal- och ungfinsk;Old and Young Finnish Party;;
Uusimaa;0357-1858;1894 - 1929;"1930 - 1934; 2016 - 2019";1894 - 2019;"35;71 %";6553;41989;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-1858;monarkistinen;1918;;;1;monarkistisk;monarchist;;
Uusimaa;0357-1858;1894 - 1929;"1930 - 1934; 2016 - 2019";1894 - 2019;"35;71 %";6553;41989;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0357-1858;kokoomuslainen;9.12.1918 - 1937;;;1;samlingspartistisk;supporter of the Coalition Party;;
